time,algo,attack,efficacite,cout,robustesse,redondance,disparite,criticite
0,none,none,0.666958783513401,13300,1.0,30.347058823529412,0.543030260912833,0.0
0,RND,none,0.6584447229184085,2576,0.8757309941520468,28.519005847953217,0.5610438196122132,42.35294117647059
0,RND,none,0.6584447229184085,2576,0.8757309941520468,28.519005847953217,0.5610438196122132,42.35294117647059
1,none,none,0.6660017340269402,13316,1.0,29.96358543417367,0.5411756382600583,0.0
1,RND,none,0.656982734614315,2580,0.8757309941520468,28.337719298245613,0.5633103214643324,43.529411764705884
1,RND,none,0.656982734614315,2580,0.8757309941520468,28.337719298245613,0.5633103214643324,43.529411764705884
2,none,none,0.6657216219821227,13324,1.0,30.165826330532212,0.5455474363019346,0.0
2,RND,none,0.6574700640490129,2580,0.8786549707602339,28.51608187134503,0.564679116586604,43.529411764705884
2,RND,none,0.6574700640490129,2580,0.8786549707602339,28.51608187134503,0.564679116586604,43.529411764705884
3,none,none,0.6657076163798817,13326,1.0,30.01232492997199,0.545563168808775,0.0
3,RND,none,0.6574700640490129,2580,0.8786549707602339,28.23391812865497,0.5613472844560469,43.529411764705884
3,RND,none,0.6574700640490129,2580,0.8786549707602339,28.23391812865497,0.5613472844560469,43.529411764705884
4,none,none,0.6661511271175102,13316,1.0,31.610364145658263,0.5488014792217559,0.0
4,RND,none,0.6591757170704554,2574,0.8786549707602339,29.521929824561404,0.5656510653865986,43.529411764705884
4,RND,none,0.6591757170704554,2574,0.8786549707602339,29.521929824561404,0.5656510653865986,43.529411764705884
5,none,none,0.6669961317860441,13290,1.0,31.1812324929972,0.5455146532186289,0.0
5,RND,none,0.6623433583959915,2562,0.9239766081871345,29.444444444444443,0.559789070392732,45.88235294117647
5,RND,none,0.6623433583959915,2562,0.9239766081871345,29.444444444444443,0.559789070392732,45.88235294117647
6,none,none,0.666762705082029,13314,1.0,31.410364145658264,0.5461038037590508,0.0
6,RND,none,0.6625870231133404,2564,0.9239766081871345,29.584795321637426,0.563069142360582,47.05882352941177
6,RND,none,0.6625870231133404,2564,0.9239766081871345,29.584795321637426,0.563069142360582,47.05882352941177
7,none,none,0.6659223689475757,13334,1.0,31.242016806722688,0.5449200625750956,0.0
7,RND,none,0.6616123642439448,2568,0.9239766081871345,29.27485380116959,0.5640721379310555,47.05882352941177
7,RND,none,0.6616123642439448,2568,0.9239766081871345,29.27485380116959,0.5640721379310555,47.05882352941177
8,none,none,0.6671968787514962,13260,1.0,27.209243697478993,0.5407074604449191,0.0
8,RND,none,0.6630499860763035,2548,0.9239766081871345,28.77485380116959,0.5596017501053135,47.05882352941177
8,RND,none,0.6630499860763035,2548,0.9239766081871345,28.77485380116959,0.5596017501053135,47.05882352941177
9,none,none,0.667934507136183,13238,1.0,27.43361344537815,0.5457181858700564,0.0
9,RND,none,0.6632449178501826,2544,0.9239766081871345,28.940058479532162,0.5697356388665862,47.05882352941177
9,RND,none,0.6632449178501826,2544,0.9239766081871345,28.940058479532162,0.5697356388665862,47.05882352941177
