time,algo,attack,efficacite,cout,robustesse,redondance,disparite,criticite
0,none,none,0.6584867724867589,18622,1.0,0,0,0.0
0,RND,none,0.6572850035536609,1758,0.7697228144989339,0,0,0.0
0,RND,none,0.6572850035536609,1758,0.7697228144989339,0,0,0.0
1,none,none,0.6578638768638632,18634,1.0,0,0,0.0
1,RND,none,0.6547974413646063,1764,0.7697228144989339,0,0,0.0
1,RND,none,0.6547974413646063,1764,0.7697228144989339,0,0,0.0
2,none,none,0.6577628667628532,18636,1.0,0,0,0.0
2,RND,none,0.6569296375266532,1760,0.7697228144989339,0,0,0.0
2,RND,none,0.6569296375266532,1760,0.7697228144989339,0,0,0.0
3,none,none,0.6579985569985433,18630,1.0,0,0,0.0
3,RND,none,0.6565742714996454,1762,0.7697228144989339,0,0,0.0
3,RND,none,0.6565742714996454,1762,0.7697228144989339,0,0,0.0
4,none,none,0.6583857623857486,18620,1.0,0,0,0.0
4,RND,none,0.6565742714996454,1762,0.7697228144989339,0,0,0.0
4,RND,none,0.6565742714996454,1762,0.7697228144989339,0,0,0.0
5,none,none,0.658668590668577,18626,1.0,0,0,0.0
5,RND,none,0.656467661691543,1764,0.7697228144989339,0,0,0.0
5,RND,none,0.656467661691543,1764,0.7697228144989339,0,0,0.0
6,none,none,0.6583823953823817,18658,1.0,0,0,0.0
6,RND,none,0.6564676616915431,1768,0.7697228144989339,0,0,0.0
6,RND,none,0.6564676616915431,1768,0.7697228144989339,0,0,0.0
7,none,none,0.6578773448773314,18676,1.0,0,0,0.0
7,RND,none,0.6564676616915431,1768,0.7697228144989339,0,0,0.0
7,RND,none,0.6564676616915431,1768,0.7697228144989339,0,0,0.0
8,none,none,0.6584665704665571,18624,1.0,0,0,0.0
8,RND,none,0.6563255152807401,1762,0.7697228144989339,0,0,0.0
8,RND,none,0.6563255152807401,1762,0.7697228144989339,0,0,0.0
9,none,none,0.6588807118806985,18608,1.0,0,0,0.0
9,RND,none,0.6557924662402281,1760,0.7697228144989339,0,0,0.0
9,RND,none,0.6557924662402281,1760,0.7697228144989339,0,0,0.0
10,none,none,0.659503607503594,18576,1.0,0,0,0.0
10,RND,none,0.6568585643212516,1752,0.7697228144989339,0,0,0.0
10,RND,none,0.6568585643212516,1752,0.7697228144989339,0,0,0.0
11,none,none,0.6587864357864223,18602,1.0,0,0,0.0
11,RND,none,0.6563965884861415,1756,0.7697228144989339,0,0,0.0
11,RND,none,0.6563965884861415,1756,0.7697228144989339,0,0,0.0
12,none,none,0.6579514189514056,18634,1.0,0,0,0.0
12,RND,none,0.6563965884861415,1756,0.7697228144989339,0,0,0.0
12,RND,none,0.6563965884861415,1756,0.7697228144989339,0,0,0.0
13,none,none,0.6581871091870957,18632,1.0,0,0,0.0
13,RND,none,0.657462686567165,1754,0.7718550106609808,0,0,0.0
13,RND,none,0.657462686567165,1754,0.7718550106609808,0,0,0.0
14,none,none,0.6575776815776679,18666,1.0,0,0,0.0
14,RND,none,0.6579957356076767,1756,0.7718550106609808,0,0,0.0
14,RND,none,0.6579957356076767,1756,0.7718550106609808,0,0,0.0
15,none,none,0.6578807118806983,18656,1.0,0,0,0.0
15,RND,none,0.6590618336887001,1754,0.7739872068230277,0,0,0.0
15,RND,none,0.6590618336887001,1754,0.7739872068230277,0,0,0.0
16,none,none,0.6581534391534255,18642,1.0,0,0,0.0
16,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
16,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
17,none,none,0.6588302068301933,18616,1.0,0,0,0.0
17,RND,none,0.6619047619047628,1750,0.7867803837953091,0,0,0.0
17,RND,none,0.6619047619047628,1750,0.7867803837953091,0,0,0.0
18,none,none,0.6591938431938299,18598,1.0,0,0,0.0
18,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
18,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
19,none,none,0.6595810485810352,18586,1.0,0,0,0.0
19,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
19,RND,none,0.661194029850747,1750,0.7867803837953091,0,0,0.0
20,none,none,0.6592443482443348,18594,1.0,0,0,0.0
20,RND,none,0.6601279317697236,1752,0.7867803837953091,0,0,0.0
20,RND,none,0.6601279317697236,1752,0.7867803837953091,0,0,0.0
21,none,none,0.6588066378066243,18604,1.0,0,0,0.0
21,RND,none,0.6597725657427158,1754,0.7867803837953091,0,0,0.0
21,RND,none,0.6597725657427158,1754,0.7867803837953091,0,0,0.0
22,none,none,0.6583251563251428,18628,1.0,0,0,0.0
22,RND,none,0.6594171997157081,1756,0.7867803837953091,0,0,0.0
22,RND,none,0.6594171997157081,1756,0.7867803837953091,0,0,0.0
23,none,none,0.6577628667628534,18678,1.0,0,0,0.0
23,RND,none,0.6591329068941019,1760,0.7867803837953091,0,0,0.0
23,RND,none,0.6591329068941019,1760,0.7867803837953091,0,0,0.0
24,none,none,0.6575608465608331,18686,1.0,0,0,0.0
24,RND,none,0.6580668088130784,1762,0.7867803837953091,0,0,0.0
24,RND,none,0.6580668088130784,1762,0.7867803837953091,0,0,0.0
25,none,none,0.657426166426153,18696,1.0,0,0,0.0
25,RND,none,0.6594882729211096,1758,0.7867803837953091,0,0,0.0
